,Anthropology,Area Studies,Art History,Communications,Criminology Law and Society,Economics,English,Environmental Science,Global Affairs,History,Languages and Linguistics,No Degree,Philosophy and Religious Studies,Psychology,Sociology
Administrative  Support  and Waste Management Services,0.008820103,0.020300965,0,0.051429181,0.048754425,0.018939592,0.027368421,0.03291647,0,0.02863617,0.016383113,0.086700805,0.033542714,0.060211176,0.044827878
Agriculture  Forestry  Fishing and Hunting  and Mining,0,0,0,0,0.002270754,0,0.003264683,0,0,0,0,0.003336697,0,0,0
Arts  Entertainment  and Sports,0.082875686,0.044860875,0.083886382,0.03508959,0.005276164,0.00170273,0.031273837,0,0.025881965,0.019112673,0.019813765,0.016801816,0.010301508,0.008495371,0
Construction,0.01913796,0.009795571,0.022829838,0.012798635,0.047585654,0.020223189,0.014370709,0.04589429,0,0.01937539,0.010922075,0.138895535,0,0.018756739,0.00845809
Educational Services,0.135796306,0.108886996,0.103530661,0.128988908,0.072931276,0.070912139,0.218062548,0.046956111,0.139630729,0.141604545,0.253658195,0.037268018,0.155025126,0.17104138,0.133384082
Finance & Insurance,0,0.030238501,0,0.031420648,0.027783343,0.130324305,0.029107551,0.022652194,0.063963073,0.046402417,0.011692222,0.025330809,0.062562814,0.040803807,0.030702867
Food & Accomodation Services,0,0,0.032651978,0.034961604,0.033193081,0.027034107,0.022974828,0.01946673,0.015001649,0.019769466,0.039697543,0.10978461,0.039698492,0.014258096,0.023006005
Health Care & Social Assistance,0.087036112,0.187819421,0.092646668,0.057508532,0.043444867,0.025017027,0.062608696,0.029731005,0.057368942,0.040819678,0.054470349,0.108237194,0.041582915,0.172640071,0.155967183
Information Sectors,0.049758695,0.015190233,0.044863286,0.126109215,0.015160622,0.016215225,0.082898551,0.010972157,0,0.045614266,0.018273472,0.016362298,0.007035176,0.009238949,0.003383236
Mangement of Companies & Enterprises,0,0.012776831,0,0.000981229,0.002270754,0,0,0,0,0,0,0.000375801,0,0,0
Manufacturing,0.026793144,0.076377058,0,0.016211604,0.004775262,0.007911144,0.009702517,0.015927324,0,0.011001281,0.012532381,0.025176067,0.013567839,0.00622746,0.009895965
Military,0,0.020868825,0,0.005183447,0.028184065,0.049405354,0.012631579,0,0,0.031296181,0.006651264,0.011075077,0.005653266,0.01312414,0
Miscellaneous Services,0.102679314,0.076377058,0.193257234,0.101386519,0.012990049,0.0497459,0.080305111,0.094148183,0.082591494,0.093592985,0.075544353,0.065420585,0.091582915,0.070212291,0.059967859
Professional  Scientific  and Technical Services,0.264436678,0.112152186,0.165914521,0.202175768,0.191711748,0.325273747,0.200884821,0.375412931,0.36531487,0.217792519,0.24994749,0.070774124,0.363819095,0.20714206,0.307789901
Public Administration,0.170743884,0.243327655,0.183435094,0.12418942,0.363955119,0.205427778,0.134065599,0.275129778,0.140784702,0.209024334,0.178673948,0.067467335,0.051256281,0.120571067,0.173306267
Real Estate,0,0.02399205,0.013804088,0.029180887,0.035697589,0.017996542,0.010312738,0.008848513,0.033959776,0.010048931,0.007981516,0.019666486,0.008417085,0.009740863,0.005751501
Retail Trade,0.017806623,0.017035775,0.043801434,0.021181741,0.046483671,0.014591083,0.055072464,0.016517225,0.060336301,0.046172539,0.038647343,0.117161493,0.059547739,0.045581292,0.032732809
Transportation & Warehousing,0.034115493,0,0.019378816,0.010302901,0.017531557,0.010897469,0.003844394,0.005427088,0,0.011165479,0.003640692,0.056350647,0.031155779,0.014220917,0
Unemployed,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Utilities,0,0,0,0.006953925,0,0.001519359,0,0,0,0,0,0.006184462,0,0.002974309,0.003214074
Wholesale Trade,0,0,0,0.003946246,0,0.00686331,0.001250953,0,0.015166502,0.008571147,0.001470279,0.017630139,0.025251256,0.01476001,0.007612281
