,CHSS Degree,No Degree,Non-CHSS Degree
Administrative  Support  and Waste Management Services,0.037344343,0.086700805,0.022846794
Agriculture  Forestry  Fishing and Hunting  and Mining,0.000588338,0.003336697,0.001310461
Arts  Entertainment  and Sports,0.018773029,0.016801816,0.017392482
Construction,0.019438692,0.138895535,0.020950262
Educational Services,0.138679702,0.037268018,0.119424481
Finance & Insurance,0.045934079,0.025330809,0.050373603
Food & Accomodation Services,0.024612705,0.10978461,0.030880675
Health Care & Social Assistance,0.078272505,0.108237194,0.103865788
Information Sectors,0.04240405,0.016362298,0.027324321
Mangement of Companies & Enterprises,0.000685834,0.000375801,0.001919347
Manufacturing,0.011534789,0.025176067,0.027642311
Military,0.017929184,0.011075077,0.016648129
Miscellaneous Services,0.073959146,0.065420585,0.054665754
Professional  Scientific  and Technical Services,0.237022942,0.070774124,0.274229979
Public Administration,0.179641484,0.067467335,0.148906286
Real Estate,0.016954224,0.019666486,0.019217716
Retail Trade,0.036698852,0.117161493,0.035716119
Transportation & Warehousing,0.011023776,0.056350647,0.015671344
Unemployed,0,0,0
Utilities,0.001956645,0.006184462,0.00246977
Wholesale Trade,0.006545682,0.017630139,0.008544376
