,Anthropology,Area Studies,Art History,Communications,"Criminology, Law, and Society",Economics,English,Environmental Science,Global Affairs,History,Languages and Linguistics,No Degree,Philosophy and Religious Studies,Psychology,Sociology
Architectural and Engineering Jobs,1.12%,0.84%,2.26%,0.89%,0.94%,1.12%,0.73%,3.46%,1.28%,0.93%,0.69%,0.76%,0.84%,0.54%,0.33%
"Art, Design, Entertainment,  Sports,  and Media Jobs",5.62%,6.10%,7.16%,13.40%,1.38%,2.14%,8.19%,2.09%,5.93%,3.60%,5.49%,1.20%,4.67%,2.20%,2.97%
Builing/Ground Maintenance and Cleaning Jobs,0.20%,0.63%,0.21%,0.64%,0.86%,0.29%,0.62%,1.23%,0.83%,0.79%,0.73%,5.72%,1.19%,0.56%,0.85%
Business Operations Specialists,6.65%,6.33%,7.40%,8.35%,4.12%,8.72%,5.79%,6.40%,8.79%,5.51%,6.19%,1.54%,5.11%,5.62%,6.40%
Community and Social Service Workers,3.40%,5.50%,1.83%,2.66%,8.81%,0.89%,3.04%,0.85%,3.52%,3.31%,3.42%,0.64%,11.49%,15.61%,11.80%
Computer and Mathematical Occupations,3.31%,3.74%,1.80%,3.56%,2.84%,7.18%,3.17%,5.08%,4.22%,3.44%,3.93%,1.54%,4.80%,2.57%,2.75%
Construction Jobs,0.99%,0.09%,0.53%,0.54%,1.18%,0.57%,0.70%,2.48%,0.22%,1.00%,0.86%,8.67%,1.04%,0.56%,0.62%
"Education,  Library,  and Training Occupations",13.83%,16.74%,18.24%,7.66%,5.37%,6.06%,21.86%,9.60%,12.34%,20.19%,24.24%,1.96%,14.06%,11.90%,13.04%
Extraction Jobs,0.10%,0.00%,0.00%,0.03%,0.02%,0.00%,0.01%,0.06%,0.00%,0.00%,0.00%,0.23%,0.00%,0.00%,0.00%
"Farming , Fishing,  and Forestry Jobs",0.21%,0.11%,0.00%,0.05%,0.12%,0.23%,0.17%,0.73%,0.21%,0.11%,0.00%,1.13%,0.22%,0.07%,0.18%
Finacial Specialists,2.80%,2.13%,3.40%,2.55%,2.11%,12.72%,2.18%,1.78%,4.81%,2.52%,1.95%,0.74%,1.91%,2.22%,2.38%
Food Preparation and Serving,2.26%,2.59%,3.25%,2.30%,1.99%,1.05%,2.63%,1.69%,4.44%,2.20%,1.62%,7.83%,3.31%,2.13%,2.48%
Healthcare Practitioners and Technicians,8.46%,5.43%,3.75%,3.07%,2.95%,2.60%,3.42%,4.61%,3.76%,3.41%,7.68%,4.03%,4.02%,9.66%,5.55%
Healthcare Support Occupations,1.65%,0.28%,0.44%,0.55%,0.58%,0.29%,0.78%,0.47%,0.86%,0.39%,1.00%,3.57%,0.37%,1.48%,1.18%
Installation  Maintenance  and Repair,0.37%,0.36%,0.18%,0.62%,0.84%,0.45%,0.42%,1.13%,0.43%,0.85%,0.43%,4.49%,0.22%,0.46%,0.46%
Legal Occupations,3.55%,6.63%,2.91%,2.39%,6.45%,5.09%,5.56%,2.17%,6.79%,8.85%,3.62%,0.30%,10.12%,2.59%,3.84%
"Managers in Business, Sciences, and the Arts",15.60%,16.53%,20.08%,20.32%,10.73%,23.38%,14.46%,18.34%,15.93%,16.01%,14.27%,6.46%,12.98%,13.03%,14.34%
Military Personnel,0.28%,0.54%,0.00%,0.23%,1.38%,0.37%,0.31%,0.23%,0.33%,0.94%,0.39%,0.42%,1.20%,0.34%,0.26%
Office and Administrative Support Jobs,9.87%,8.30%,13.38%,12.37%,10.68%,7.92%,11.66%,8.50%,8.25%,9.05%,10.02%,13.94%,9.24%,10.08%,12.84%
Personal Care and Service Jobs,2.80%,3.13%,2.45%,1.97%,1.51%,1.27%,2.22%,1.46%,1.22%,1.23%,2.07%,4.65%,1.60%,3.12%,2.71%
Production Workers,1.49%,0.91%,1.33%,1.13%,1.52%,1.06%,1.09%,3.07%,1.44%,1.22%,0.61%,8.29%,0.97%,1.12%,1.21%
Protective Services,1.26%,1.18%,0.36%,1.04%,22.86%,1.12%,0.87%,3.07%,0.33%,2.17%,0.55%,2.53%,1.68%,1.58%,3.78%
Sales Jobs,7.57%,8.81%,7.71%,11.80%,6.94%,11.73%,8.00%,7.95%,10.66%,9.32%,7.40%,10.17%,6.18%,6.49%,7.55%
Science Occupations (Physical and Social),5.15%,1.86%,1.24%,0.50%,1.02%,2.36%,0.75%,12.07%,1.15%,0.89%,1.55%,0.18%,1.37%,4.74%,1.06%
Transportation and Material Moving Jobs,1.48%,1.22%,0.11%,1.38%,2.80%,1.40%,1.39%,1.48%,2.25%,2.07%,1.28%,9.02%,1.41%,1.35%,1.41%
Total,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%
