,Anthropology,Area Studies,Art History,Communications,Criminology Law and Society,Economics,English,Environmental Science,Global Affairs,History,Languages and Linguistics,No Degree,Philosophy and Religious Studies,Psychology,Sociology
Administrative  Support  and Waste Management Industries,1.90%,2.07%,1.51%,3.50%,3.72%,2.65%,3.14%,2.94%,3.58%,2.76%,2.39%,6.34%,2.79%,2.67%,3.25%
"Agriculture, Forestry, Fishing and Hunting, and Mining Industries",1.19%,0.45%,0.35%,0.48%,0.70%,0.92%,0.42%,3.30%,0.67%,0.44%,0.33%,2.24%,0.48%,0.31%,0.59%
"Arts, Entertainment, and Sports Industries",5.65%,3.24%,10.29%,4.01%,1.80%,1.70%,3.20%,2.74%,3.60%,3.28%,2.69%,1.90%,2.73%,1.89%,1.98%
Construction,1.85%,0.38%,2.42%,1.67%,1.89%,2.17%,1.37%,4.21%,1.39%,2.15%,2.14%,10.24%,1.93%,1.39%,1.45%
Educational Services,18.13%,23.17%,19.69%,12.81%,7.22%,8.90%,26.48%,12.58%,15.46%,24.36%,30.28%,3.21%,18.24%,19.82%,18.05%
Finance & Insurance,4.11%,4.54%,4.65%,7.31%,5.92%,20.40%,5.90%,2.83%,6.26%,7.15%,4.88%,3.24%,4.24%,5.39%,7.17%
Food & Accomodation Services,4.33%,3.57%,4.56%,4.37%,2.88%,2.43%,3.80%,2.61%,5.87%,3.21%,3.30%,10.12%,4.42%,3.18%,3.60%
Health Care & Social Assistance,15.92%,13.93%,8.09%,8.63%,9.88%,6.17%,8.89%,6.76%,7.97%,7.24%,13.25%,12.87%,10.18%,27.67%,19.99%
Information Industries,2.98%,3.49%,5.30%,10.84%,1.56%,3.43%,7.00%,1.69%,4.44%,4.48%,2.58%,1.53%,3.29%,1.96%,2.59%
Mangement of Companies & Enterprises,0.22%,0.36%,0.17%,0.27%,0.08%,0.33%,0.17%,0.18%,0.00%,0.08%,0.22%,0.08%,0.03%,0.13%,0.09%
Manufacturing Industries,3.53%,3.36%,3.44%,5.40%,4.00%,5.76%,3.80%,7.81%,3.84%,3.58%,3.76%,10.73%,3.69%,3.10%,3.41%
Military,0.68%,1.26%,0.00%,0.50%,2.48%,1.01%,0.49%,0.46%,0.58%,1.60%,0.77%,0.81%,1.48%,0.63%,0.65%
Miscellaneous Services,5.11%,5.13%,4.30%,4.74%,2.41%,2.80%,4.50%,4.07%,5.34%,3.75%,4.69%,5.66%,12.14%,5.92%,4.59%
"Professional, Scientific, and Technical Services",15.04%,13.88%,18.13%,16.44%,10.02%,20.28%,14.15%,17.93%,19.16%,14.27%,13.29%,3.50%,17.07%,9.25%,9.68%
Public Administration,6.33%,8.23%,3.30%,3.65%,33.13%,5.42%,4.22%,15.12%,5.73%,8.01%,4.77%,3.69%,5.46%,6.15%,10.66%
Real Estate,1.85%,1.96%,1.21%,2.61%,1.55%,2.77%,1.58%,1.89%,2.14%,1.68%,0.93%,1.57%,2.06%,1.62%,1.97%
Retail Trade,6.85%,6.76%,9.83%,7.37%,5.82%,6.89%,7.30%,6.57%,8.29%,7.59%,6.32%,13.09%,5.40%,5.69%,6.17%
Transportation and Warehousing,1.85%,1.45%,0.98%,2.11%,2.87%,2.31%,1.86%,1.70%,2.16%,2.15%,1.56%,5.71%,2.05%,1.58%,2.02%
Utilities,0.60%,0.45%,0.14%,0.44%,0.65%,0.76%,0.26%,3.16%,0.82%,0.36%,0.35%,0.80%,0.49%,0.31%,0.43%
Wholesale Trade,1.88%,2.32%,1.64%,2.85%,1.42%,2.90%,1.46%,1.44%,2.69%,1.85%,1.50%,2.65%,1.83%,1.35%,1.66%
Total,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%
