chsscode,chssdeg
5502,Anthropology
1501,Area Studies
6006,Art History
1901,Communications
1902,Communications
1903,Communications
1904,Communications
5301,Criminology Law and Society
5503,Criminology Law and Society
3201,Criminology Law and Society
3202,Criminology Law and Society
1102,Economics
5501,Economics
6205,Economics
3301,English
3302,English
1301,Environmental Science
1303,Environmental Science
6402,History
6403,History
4001,Global Affairs
2601,Languages and Linguistics
2602,Languages and Linguistics
2603,Languages and Linguistics
4801,Philosophy and Religious Studies
4901,Psychology
4006,Psychology
5200,Psychology
5201,Psychology
5202,Psychology
5203,Psychology
5205,Psychology
5206,Psychology
5299,Psychology
5507,Sociology
0,No Degree
