EMPSTAT,employment,DEGFIELDD,degree,STATEICP        ,state,MET2013,metro,OCC,occupation,IND,industry,degclass,degtype
0,NA,0,No Degree,1,Connecticut,0,NA,0,N/A,0,NA,1100,Non-CHSS Degree
1,Employed,1100,General Agriculture,2,Maine,10420,Akron  OH,10,Managers in Business  Science  and the Arts,170,Agriculture  Forestry  Fishing and Hunting  and Mining,1101,Non-CHSS Degree
2,Unemployed,1101,Agriculture Production and Management,3,Massachusetts,10580,Albany-Schenectady-Troy  NY,20,Managers in Business  Science  and the Arts,180,Agriculture  Forestry  Fishing and Hunting  and Mining,1103,Non-CHSS Degree
3,Not in labor force,1102,Agricultural Economics,4,New Hampshire,10740,Albuquerque  NM,10,Managers in Business  Science  and the Arts,190,Agriculture  Forestry  Fishing and Hunting  and Mining,1104,Non-CHSS Degree
,,1103,Animal Sciences,5,Rhode Island,10780,Alexandria  LA,40,Managers in Business  Science  and the Arts,270,Agriculture  Forestry  Fishing and Hunting  and Mining,1105,Non-CHSS Degree
,,1104,Food Science,6,Vermont,10900,Allentown-Bethlehem-Easton  PA-NJ,50,Managers in Business  Science  and the Arts,280,Agriculture  Forestry  Fishing and Hunting  and Mining,1106,Non-CHSS Degree
,,1105,Plant Science and Agronomy,11,Delaware,11020,Altoona  PA,50,Managers in Business  Science  and the Arts,290,Agriculture  Forestry  Fishing and Hunting  and Mining,1199,Non-CHSS Degree
,,1106,Soil Science,12,New Jersey,11100,Amarillo  TX,60,Managers in Business  Science  and the Arts,370,Agriculture  Forestry  Fishing and Hunting  and Mining,1302,Non-CHSS Degree
,,1199,Miscellaneous Agriculture,13,New York,11260,Anchorage  AK,100,Managers in Business  Science  and the Arts,380,Agriculture  Forestry  Fishing and Hunting  and Mining,1401,Non-CHSS Degree
,,1300,Environment and Natural Resources,14,Pennsylvania,11460,Ann Arbor  MI,110,Managers in Business  Science  and the Arts,390,Agriculture  Forestry  Fishing and Hunting  and Mining,2001,Non-CHSS Degree
,,1301,Environmental Science,21,Illinois,11500,Anniston-Oxford-Jacksonville  AL,120,Managers in Business  Science  and the Arts,470,Agriculture  Forestry  Fishing and Hunting  and Mining,2100,Non-CHSS Degree
,,1302,Forestry,22,Indiana,11700,Asheville  NC,140,Managers in Business  Science  and the Arts,490,Agriculture  Forestry  Fishing and Hunting  and Mining,2101,Non-CHSS Degree
,,1303,Natural Resources Management,23,Michigan,12020,Athens-Clarke County  GA,150,Managers in Business  Science  and the Arts,770,Construction,2102,Non-CHSS Degree
,,1401,Architecture,24,Ohio,12060,Atlanta-Sandy Springs-Roswell  GA,160,Managers in Business  Science  and the Arts,1070,Manufacturing,2105,Non-CHSS Degree
,,1501,Area  Ethnic  and Civilization Studies,25,Wisconsin,12100,Atlantic City-Hammonton  NJ,135,Managers in Business  Science  and the Arts,1080,Manufacturing,2106,Non-CHSS Degree
,,1900,Communications,31,Iowa,12220,Auburn-Opelika  AL,136,Managers in Business  Science  and the Arts,1090,Manufacturing,2107,Non-CHSS Degree
,,1901,Communications,32,Kansas,12260,Augusta-Richmond County  GA-SC,137,Managers in Business  Science  and the Arts,1170,Manufacturing,2201,Non-CHSS Degree
,,1902,Journalism,33,Minnesota,12420,Austin-Round Rock  TX,205,Managers in Business  Science  and the Arts,1180,Manufacturing,2300,Non-CHSS Degree
,,1903,Mass Media,34,Missouri,12540,Bakersfield  CA,220,Managers in Business  Science  and the Arts,1190,Manufacturing,2301,Non-CHSS Degree
